Ticker,Setup Type,Date,Price,Change %,Volume,Avg Volume 20D,RSI,Prior RSI High,MA20,MA40,Distance to MA20 %,Red Candles,Near Support,Support Level,Distance to Support %,Range Position %,Hammer,Prior Support Hammers,Pattern Score,Refinement Score,Total Score,MACD Reversal,ADX Rising,RSI In Pullback Zone,Notes
AES,Uptrend Pullback,2026-08-07,14.73,0.07,6795816,6989212,70.37,82.5,14.66,14.57,0.5,4,True,14.59,0.96,77.78,True,1,65,,65,,,,Uptrend Pullback; 20 MA above 40 MA with rising slopes; Sideways MA compression; Price between 20 and 40 MA; 4 recent red candles; RSI was elevated before pullback; Near recent support; 1 prior hammer(s) at support; Latest candle looks like a hammer
BNL,Sideways Support,2026-08-07,20.93,0.24,6807231,1959931,9.13,82.2,21.99,21.44,-4.81,7,True,20.55,1.85,14.9,True,1,65,,65,,,,Sideways Support; Sideways MA compression; Price in lower third of recent range; 7 recent red candles; RSI was elevated before pullback; Near recent support; 1 prior hammer(s) at support; Latest candle looks like a hammer
STKL,Uptrend Pullback,2026-05-01,6.5,0.15,2917348,951791,54.55,71.43,6.49,6.48,0.22,5,True,6.46,0.62,80.0,True,1,65,,65,,,,Uptrend Pullback; 20 MA above 40 MA with rising slopes; Sideways MA compression; Price between 20 and 40 MA; 5 recent red candles; RSI was elevated before pullback; Near recent support; 1 prior hammer(s) at support; Latest candle looks like a hammer
EVRI,Uptrend Pullback,2025-07-01,14.24,0.0,0,1338095,68.75,75.0,14.2,14.14,0.31,4,True,14.1,0.99,93.33,False,4,65,,65,,,,Uptrend Pullback; 20 MA above 40 MA with rising slopes; Sideways MA compression; Price between 20 and 40 MA; 4 recent red candles; RSI was elevated before pullback; Near recent support; 4 prior hammer(s) at support
CNNE,Uptrend Pullback,2026-08-07,14.78,-0.2,300137,441899,51.33,75.16,14.85,14.54,-0.48,5,True,14.22,3.94,46.67,False,3,65,,65,,,,Uptrend Pullback; 20 MA above 40 MA with rising slopes; Sideways MA compression; Price between 20 and 40 MA; 5 recent red candles; RSI was elevated before pullback; Near recent support; 3 prior hammer(s) at support
CTO,Uptrend Pullback,2026-08-07,21.75,0.14,311160,332437,38.06,71.79,21.97,21.58,-1.02,6,True,21.18,2.69,37.25,False,3,65,,65,,,,Uptrend Pullback; 20 MA above 40 MA with rising slopes; Price between 20 and 40 MA; 6 recent red candles; RSI was elevated before pullback; Near recent support; 3 prior hammer(s) at support
DBRG,Uptrend Pullback,2026-08-07,15.94,0.06,3187632,3218358,65.12,65.0,15.84,15.79,0.66,3,True,15.68,1.66,96.3,False,3,65,,65,,,,Uptrend Pullback; 20 MA above 40 MA with rising slopes; Sideways MA compression; Price between 20 and 40 MA; 3 recent red candles; RSI was elevated before pullback; Near recent support; 3 prior hammer(s) at support
AAN,Uptrend Pullback,2024-10-03,10.09,0.1,2775856,1426607,55.56,64.86,10.01,9.97,0.81,5,False,9.55,5.65,98.18,False,2,65,,65,,,,Uptrend Pullback; 20 MA above 40 MA with rising slopes; Sideways MA compression; Price between 20 and 40 MA; 5 recent red candles; RSI was elevated before pullback; 2 prior hammer(s) at support
FCPT,Uptrend Pullback + Sideways Support,2026-08-07,25.1,0.08,1276307,754205,31.14,74.73,25.64,25.11,-2.12,6,True,24.81,1.17,15.1,False,2,65,,65,,,,Uptrend Pullback + Sideways Support; 20 MA above 40 MA with rising slopes; Sideways MA compression; Price near 20 MA; Price in lower third of recent range; 6 recent red candles; RSI was elevated before pullback; Near recent support; 2 prior hammer(s) at support
FTHY,Uptrend Pullback,2026-08-07,13.54,0.3,66678,86994,53.57,64.29,13.49,13.42,0.39,3,True,13.37,1.27,68.0,False,2,65,,65,,,,Uptrend Pullback; 20 MA above 40 MA with rising slopes; Sideways MA compression; Price between 20 and 40 MA; 3 recent red candles; RSI was elevated before pullback; Near recent support; 2 prior hammer(s) at support
